Quarter of Date,Variant,Cases
2021 Q1,Kappa,0
2021 Q1,Lambda,0
2021 Q1,Mu,0
2021 Q1,Omicron,0
2021 Q1,S:677H.Robin1,0
2021 Q1,S:677P.Pelican,0
2021 Q1,others,52
2021 Q1,non_who,81
2021 Q2,Alpha,1229
2021 Q2,B.1.1.277,0
2021 Q2,B.1.1.302,0
2021 Q2,B.1.1.519,0
2021 Q2,B.1.160,0
2021 Q2,B.1.177,1
2021 Q2,B.1.221,0
2021 Q2,B.1.258,1
2021 Q2,B.1.367,0
2021 Q2,B.1.620,0
2021 Q2,Beta,53
2021 Q2,Delta,0
2021 Q2,Epsilon,0
2021 Q2,Eta,21
2021 Q2,Gamma,1
2021 Q2,Iota,0
2021 Q2,Kappa,0
2021 Q2,Lambda,0
2021 Q2,Mu,0
2021 Q2,Omicron,0
2021 Q2,S:677H.Robin1,0
2021 Q2,S:677P.Pelican,0
2021 Q2,others,22
2021 Q2,non_who,24
2021 Q2,Alpha,1776
2021 Q2,B.1.1.277,0
2021 Q2,B.1.1.302,0
2021 Q2,B.1.1.519,0
2021 Q2,B.1.160,0
2021 Q2,B.1.177,0
2021 Q2,B.1.221,0
2021 Q2,B.1.258,0
2021 Q2,B.1.367,0
2021 Q2,B.1.620,1
2021 Q2,Beta,35
2021 Q2,Delta,1
2021 Q2,Epsilon,1
2021 Q2,Eta,9
2021 Q2,Gamma,1
2021 Q2,Iota,0
2021 Q2,Kappa,2
2021 Q2,Lambda,0
2021 Q2,Mu,0
2021 Q2,Omicron,0
2021 Q2,S:677H.Robin1,0
2021 Q2,S:677P.Pelican,0
2021 Q2,others,21
2021 Q2,non_who,22
2021 Q2,Alpha,1615
2021 Q2,B.1.1.277,0
2021 Q2,B.1.1.302,0
2021 Q2,B.1.1.519,0
2021 Q2,B.1.160,0
2021 Q2,B.1.177,2
2021 Q2,B.1.221,0
2021 Q2,B.1.258,3
2021 Q2,B.1.367,0
2021 Q2,B.1.620,0
2021 Q2,Beta,8
2021 Q2,Delta,5
2021 Q2,Epsilon,0
2021 Q2,Eta,5
2021 Q2,Gamma,0
2021 Q2,Iota,0
2021 Q2,Kappa,1
2021 Q2,Lambda,0
2021 Q2,Mu,0
2021 Q2,Omicron,0
2021 Q2,S:677H.Robin1,0
2021 Q2,S:677P.Pelican,0
2021 Q2,others,15
2021 Q2,non_who,20
2021 Q2,Alpha,1775
2021 Q2,B.1.1.277,0
2021 Q2,B.1.1.302,0
2021 Q2,B.1.1.519,0
2021 Q2,B.1.160,0
2021 Q2,B.1.177,0
2021 Q2,B.1.221,0
2021 Q2,B.1.258,0
2021 Q2,B.1.367,0
2021 Q2,B.1.620,0
2021 Q2,Beta,6
2021 Q2,Delta,41
2021 Q2,Epsilon,0
2021 Q2,Eta,2
2021 Q2,Gamma,0
2021 Q2,Iota,0
2021 Q2,Kappa,0
2021 Q2,Lambda,0
2021 Q2,Mu,0
2021 Q2,Omicron,0
2021 Q2,S:677H.Robin1,0
2021 Q2,S:677P.Pelican,0
2021 Q2,others,13
2021 Q2,non_who,13
2021 Q2,Alpha,1356
2021 Q2,B.1.1.277,0
2021 Q2,B.1.1.302,0
2021 Q2,B.1.1.519,0
2021 Q2,B.1.160,0
2021 Q2,B.1.177,0
2021 Q2,B.1.221,0
2021 Q2,B.1.258,0
2021 Q2,B.1.367,0
2021 Q2,B.1.620,0
2021 Q2,Beta,2
2021 Q2,Delta,50
2021 Q2,Epsilon,0
2021 Q2,Eta,0
2021 Q2,Gamma,0
2021 Q2,Iota,0
2021 Q2,Kappa,0
2021 Q2,Lambda,0
2021 Q2,Mu,0
2021 Q2,Omicron,0
2021 Q2,S:677H.Robin1,0
2021 Q2,S:677P.Pelican,0
2021 Q2,others,9
2021 Q2,non_who,9
2021 Q2,Alpha,1033
2021 Q2,B.1.1.277,0
2021 Q2,B.1.1.302,0
2021 Q2,B.1.1.519,0
2021 Q2,B.1.160,0
2021 Q2,B.1.177,0
2021 Q2,B.1.221,0
2021 Q2,B.1.258,0
2021 Q2,B.1.367,0
2021 Q2,B.1.620,0
2021 Q2,Beta,1
2021 Q2,Delta,92
2021 Q2,Epsilon,0
2021 Q2,Eta,0
2021 Q2,Gamma,2
2021 Q2,Iota,0
2021 Q2,Kappa,0
2021 Q2,Lambda,0
2021 Q2,Mu,0
2021 Q2,Omicron,0
2021 Q2,S:677H.Robin1,0
2021 Q2,S:677P.Pelican,0
2021 Q2,others,6
2021 Q2,non_who,6
2021 Q2,Alpha,648
2021 Q2,B.1.1.277,0
2021 Q2,B.1.1.302,0
2021 Q2,B.1.1.519,0
2021 Q2,B.1.160,0
2021 Q2,B.1.177,0
2021 Q2,B.1.221,0
2021 Q2,B.1.258,0
2021 Q2,B.1.367,0
2021 Q2,B.1.620,0
2021 Q2,Beta,1
2021 Q2,Delta,169
2021 Q2,Epsilon,0
2021 Q2,Eta,0
2021 Q2,Gamma,1
2021 Q2,Iota,0
2021 Q2,Kappa,0
2021 Q2,Lambda,0
2021 Q2,Mu,0
2021 Q2,Omicron,0
2021 Q2,S:677H.Robin1,0
2021 Q2,S:677P.Pelican,0
2021 Q2,others,8
2021 Q3,Alpha,4
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,244
2021 Q3,Alpha,20
2021 Q3,Alpha,12
2021 Q3,Alpha,17
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,26
2021 Q3,Alpha,20
2021 Q3,Alpha,22
2021 Q3,Alpha,5
2021 Q3,Alpha,42
2021 Q3,Alpha,462
2021 Q3,Alpha,43
2021 Q3,Alpha,2
