Date,Location,Variant,Num Sequences,Num Sequences Total,Perc Sequences
3/8/2021,Norway,Mu,0,1547,0
3/8/2021,Norway,Omicron,0,1547,0
3/8/2021,Norway,S:677H.Robin1,0,1547,0
3/8/2021,Norway,S:677P.Pelican,0,1547,0
3/8/2021,Norway,others,169,1547,10.95
3/8/2021,Norway,non_who,242,1547,15.66
3/22/2021,Norway,Alpha,1473,1671,88.15
3/22/2021,Norway,B.1.1.277,0,1671,0
3/22/2021,Norway,B.1.1.302,0,1671,0
3/22/2021,Norway,B.1.1.519,0,1671,0
3/22/2021,Norway,B.1.160,0,1671,0
3/22/2021,Norway,B.1.177,16,1671,0.96
3/22/2021,Norway,B.1.221,8,1671,0.48
3/22/2021,Norway,B.1.258,5,1671,0.3
3/22/2021,Norway,B.1.367,0,1671,0
3/22/2021,Norway,B.1.620,0,1671,0
3/22/2021,Norway,Beta,86,1671,5.15
3/22/2021,Norway,Delta,0,1671,0
3/22/2021,Norway,Epsilon,0,1671,0
3/22/2021,Norway,Eta,29,1671,1.74
3/22/2021,Norway,Gamma,2,1671,0.12
3/22/2021,Norway,Iota,0,1671,0
3/22/2021,Norway,Kappa,0,1671,0
3/22/2021,Norway,Lambda,0,1671,0
3/22/2021,Norway,Mu,0,1671,0
3/22/2021,Norway,Omicron,0,1671,0
3/22/2021,Norway,S:677H.Robin1,0,1671,0
3/22/2021,Norway,S:677P.Pelican,0,1671,0
3/22/2021,Norway,others,52,1671,3.1
3/22/2021,Norway,non_who,81,1671,4.84
4/5/2021,Norway,Alpha,1229,1328,92.55
4/5/2021,Norway,B.1.1.277,0,1328,0
4/5/2021,Norway,B.1.1.302,0,1328,0
4/5/2021,Norway,B.1.1.519,0,1328,0
4/5/2021,Norway,B.1.160,0,1328,0
4/5/2021,Norway,B.1.177,1,1328,0.08
4/5/2021,Norway,B.1.221,0,1328,0
4/5/2021,Norway,B.1.258,1,1328,0.08
4/5/2021,Norway,B.1.367,0,1328,0
4/5/2021,Norway,B.1.620,0,1328,0
4/5/2021,Norway,Beta,53,1328,3.99
4/5/2021,Norway,Delta,0,1328,0
4/5/2021,Norway,Epsilon,0,1328,0
4/5/2021,Norway,Eta,21,1328,1.58
4/5/2021,Norway,Gamma,1,1328,0.08
4/5/2021,Norway,Iota,0,1328,0
4/5/2021,Norway,Kappa,0,1328,0
4/5/2021,Norway,Lambda,0,1328,0
4/5/2021,Norway,Mu,0,1328,0
4/5/2021,Norway,Omicron,0,1328,0
4/5/2021,Norway,S:677H.Robin1,0,1328,0
4/5/2021,Norway,S:677P.Pelican,0,1328,0
4/5/2021,Norway,others,22,1328,1.64
4/5/2021,Norway,non_who,24,1328,1.8
4/19/2021,Norway,Alpha,1776,1847,96.16
4/19/2021,Norway,B.1.1.277,0,1847,0
4/19/2021,Norway,B.1.1.302,0,1847,0
4/19/2021,Norway,B.1.1.519,0,1847,0
4/19/2021,Norway,B.1.160,0,1847,0
4/19/2021,Norway,B.1.177,0,1847,0
4/19/2021,Norway,B.1.221,0,1847,0
4/19/2021,Norway,B.1.258,0,1847,0
4/19/2021,Norway,B.1.367,0,1847,0
4/19/2021,Norway,B.1.620,1,1847,0.05
4/19/2021,Norway,Beta,35,1847,1.89
4/19/2021,Norway,Delta,1,1847,0.05
4/19/2021,Norway,Epsilon,1,1847,0.05
4/19/2021,Norway,Eta,9,1847,0.49
4/19/2021,Norway,Gamma,1,1847,0.05
4/19/2021,Norway,Iota,0,1847,0
4/19/2021,Norway,Kappa,2,1847,0.11
4/19/2021,Norway,Lambda,0,1847,0
4/19/2021,Norway,Mu,0,1847,0
4/19/2021,Norway,Omicron,0,1847,0
4/19/2021,Norway,S:677H.Robin1,0,1847,0
4/19/2021,Norway,S:677P.Pelican,0,1847,0
4/19/2021,Norway,others,21,1847,1.15
4/19/2021,Norway,non_who,22,1847,1.2
5/3/2021,Norway,Alpha,1615,1654,97.64
5/3/2021,Norway,B.1.1.277,0,1654,0
5/3/2021,Norway,B.1.1.302,0,1654,0
5/3/2021,Norway,B.1.1.519,0,1654,0
5/3/2021,Norway,B.1.160,0,1654,0
5/3/2021,Norway,B.1.177,2,1654,0.12
5/3/2021,Norway,B.1.221,0,1654,0
5/3/2021,Norway,B.1.258,3,1654,0.18
5/3/2021,Norway,B.1.367,0,1654,0
5/3/2021,Norway,B.1.620,0,1654,0
5/3/2021,Norway,Beta,8,1654,0.48
5/3/2021,Norway,Delta,5,1654,0.3
5/3/2021,Norway,Epsilon,0,1654,0
5/3/2021,Norway,Eta,5,1654,0.3
5/3/2021,Norway,Gamma,0,1654,0
5/3/2021,Norway,Iota,0,1654,0
5/3/2021,Norway,Kappa,1,1654,0.06
5/3/2021,Norway,Lambda,0,1654,0
5/3/2021,Norway,Mu,0,1654,0
5/3/2021,Norway,Omicron,0,1654,0
5/3/2021,Norway,S:677H.Robin1,0,1654,0
5/3/2021,Norway,S:677P.Pelican,0,1654,0
5/3/2021,Norway,others,15,1654,0.92
5/3/2021,Norway,non_who,20,1654,1.22
5/17/2021,Norway,Alpha,1775,1837,96.62
5/17/2021,Norway,B.1.1.277,0,1837,0
5/17/2021,Norway,B.1.1.302,0,1837,0
5/17/2021,Norway,B.1.1.519,0,1837,0
5/17/2021,Norway,B.1.160,0,1837,0
5/17/2021,Norway,B.1.177,0,1837,0
5/17/2021,Norway,B.1.221,0,1837,0
5/17/2021,Norway,B.1.258,0,1837,0
5/17/2021,Norway,B.1.367,0,1837,0
5/17/2021,Norway,B.1.620,0,1837,0
5/17/2021,Norway,Beta,6,1837,0.33
5/17/2021,Norway,Delta,41,1837,2.23
5/17/2021,Norway,Epsilon,0,1837,0
5/17/2021,Norway,Eta,2,1837,0.11
5/17/2021,Norway,Gamma,0,1837,0
5/17/2021,Norway,Iota,0,1837,0
5/17/2021,Norway,Kappa,0,1837,0
5/17/2021,Norway,Lambda,0,1837,0
5/17/2021,Norway,Mu,0,1837,0
5/17/2021,Norway,Omicron,0,1837,0
5/17/2021,Norway,S:677H.Robin1,0,1837,0
5/17/2021,Norway,S:677P.Pelican,0,1837,0
5/17/2021,Norway,others,13,1837,0.71
5/17/2021,Norway,non_who,13,1837,0.71
